Distance A,Distance B,Offset
108.04,119.84,-11.799999999999997
107.56,93.84,13.719999999999999
111.46,124.26,-12.800000000000011
111.44,124.45,-13.010000000000005
111.4,124.45,-13.049999999999997
0,0,0
0,0,0
0,0,0
0,0,0
