x,y,z,current_height,layer_height,print_speed,timestamp
99.99990844726562,499.99993896484375,-10.00006103515625,4,4,8,1763411773.3302739
99.99993896484375,489.2799072265625,-10.00006103515625,5,4,8,1763411775.448964
99.99993896484375,439.9359436035156,-10.0,4,4,8,1763411781.640963
99.99990844726562,422.9119567871094,-10.0,4,4,8,1763411783.7488956
100.0,406.27191162109375,-9.9998779296875,4,4,8,1763411785.8259387
99.99990844726562,389.44000244140625,-10.0,4,4,8,1763411787.9270008
100.0,372.73602294921875,-9.99993896484375,5,4,8,1763411790.0008714
99.99993896484375,356.3520202636719,-10.0,5,4,8,1763411792.0910244
99.99993896484375,339.32794189453125,-10.00006103515625,5,4,8,1763411794.1949203
99.9998779296875,322.3680114746094,-10.0,5,4,8,1763411796.3397202
99.99990844726562,305.21600341796875,-10.0,6,4,8,1763411798.4607458
100.0,263.87200927734375,-9.9998779296875,4,4,8,1763411803.620428
99.99996948242188,247.1039581298828,-10.0,4,4,8,1763411805.7203789
99.99993896484375,230.2079315185547,-10.00006103515625,4,4,8,1763411807.8188143
99.99990844726562,213.75994873046875,-10.0,5,4,8,1763411809.8908434
99.99993896484375,172.28793334960938,-10.0,4,4,8,1763411815.0833454
99.99996948242188,122.36802673339844,-9.99993896484375,5,4,8,1763411821.3187828
99.99993896484375,105.40802764892578,-9.99993896484375,5,4,8,1763411823.444956
100.0,88.57600402832031,-9.99993896484375,5,4,8,1763411825.5168526
99.99996948242188,71.99999237060547,-9.99993896484375,5,4,8,1763411827.6350038
100.0,54.91199493408203,-10.0,5,4,8,1763411829.7464774
100.0,13.120030403137207,-10.0,3,4,8,1763411834.9520087
100.00003051757812,-43.84001159667969,-9.99993896484375,4,4,8,1763411842.0864813
100.0,-60.86398696899414,-10.00006103515625,3,4,8,1763411844.2268548
99.99996948242188,-77.63197326660156,-9.99993896484375,4,4,8,1763411846.3345563
100.0,-94.84799194335938,-9.99993896484375,4,4,8,1763411848.4758809
99.99996948242188,-111.80794525146484,-10.00006103515625,5,4,8,1763411850.610021
100.0,-128.63987731933594,-10.00006103515625,4,4,8,1763411852.6962037
99.99996948242188,-145.53594970703125,-10.0,4,4,8,1763411854.7970395
100.0,-162.49594116210938,-10.0,4,4,8,1763411856.9401188
100.0,-179.51992797851562,-9.99993896484375,5,4,8,1763411859.0481234
99.99993896484375,-196.4159393310547,-10.0,5,4,8,1763411861.1707125
99.99996948242188,-213.1840362548828,-10.0,5,4,8,1763411863.256421
99.99996948242188,-230.07992553710938,-10.0,5,4,8,1763411865.3650959
100.00006103515625,-247.16793823242188,-9.99993896484375,5,4,8,1763411867.5238137
100.00003051757812,-263.9359130859375,-10.0,5,4,8,1763411869.6049304
100.00003051757812,-280.7679138183594,-10.0,4,4,8,1763411871.7089043
99.99993896484375,-330.5599670410156,-9.99993896484375,5,4,8,1763411877.9073267
99.99996948242188,-371.4559020996094,-10.0,3,4,8,1763411883.0507557
100.0,-388.3518981933594,-10.0,4,4,8,1763411885.1305661
100.00003051757812,-405.2479248046875,-10.00006103515625,4,4,8,1763411887.2819757
100.00009155273438,-422.0158996582031,-9.99993896484375,4,4,8,1763411889.3899577
99.99993896484375,-439.23187255859375,-10.00006103515625,3,4,8,1763411891.5185962
100.00006103515625,-455.9998779296875,-10.0,3,4,8,1763411893.6004543
100.0,-472.8959045410156,-10.00006103515625,3,4,8,1763411895.7381258
100.00006103515625,-489.7919006347656,-10.0,4,4,8,1763411897.8351755
