x,y,z,current_height,layer_height,print_speed,timestamp
99.99996948242188,499.9999084472656,-3.00006103515625,4,4,8,1763591390.3569584
100.0,489.21588134765625,-3.0001220703125,4,4,8,1763591392.4582748
99.9998779296875,472.4479064941406,-3.00006103515625,4,4,8,1763591394.568933
99.99993896484375,455.4879150390625,-3.00006103515625,4,4,8,1763591396.6769917
99.99993896484375,438.9119873046875,-3.00006103515625,4,4,8,1763591398.785173
99.99993896484375,421.7599792480469,-3.0001220703125,4,4,8,1763591400.9066007
100.0,404.7999572753906,-3.00006103515625,5,4,8,1763591403.033646
99.99993896484375,387.8399353027344,-3.00006103515625,5,4,8,1763591405.1698444
100.00003051757812,370.8799133300781,-3.00006103515625,5,4,8,1763591407.25846
99.99993896484375,329.34393310546875,-3.0,4,4,8,1763591412.4424932
99.99993896484375,312.447998046875,-3.0,4,4,8,1763591414.5805094
100.0,295.5519104003906,-3.0,4,4,8,1763591416.6606045
99.99993896484375,278.783935546875,-3.0,5,4,8,1763591418.7927854
99.99996948242188,261.7599182128906,-3.0,5,4,8,1763591420.9208605
99.99993896484375,245.05596923828125,-3.0001220703125,6,4,8,1763591423.011207
100.0,228.09597778320312,-3.00006103515625,5,4,8,1763591425.0947187
100.0,186.68795776367188,-2.99993896484375,4,4,8,1763591430.308814
99.99996948242188,169.6639862060547,-3.0,4,4,8,1763591432.4124963
100.0,152.9600067138672,-3.0,4,4,8,1763591434.5071898
99.99993896484375,135.93594360351562,-3.0,4,4,8,1763591436.6182153
99.99990844726562,119.29592895507812,-3.0,4,4,8,1763591438.7281897
99.99996948242188,102.27195739746094,-3.0,4,4,8,1763591440.8529787
99.99996948242188,85.43997955322266,-3.0,4,4,8,1763591442.9932816
99.99996948242188,68.15996551513672,-3.00006103515625,4,4,8,1763591445.124976
100.0,51.19998550415039,-3.00006103515625,4,4,8,1763591447.2521236
99.99996948242188,34.0479850769043,-3.00006103515625,4,4,8,1763591449.3931978
99.99993896484375,17.0880069732666,-3.0001220703125,5,4,8,1763591451.4951649
99.99996948242188,0.1920015811920166,-3.0001220703125,5,4,8,1763591453.5965307
99.99996948242188,-16.639976501464844,-3.00006103515625,5,4,8,1763591455.6800244
99.99996948242188,-33.5360221862793,-3.00006103515625,5,4,8,1763591457.8105342
100.0,-50.432010650634766,-3.0,5,4,8,1763591459.928181
99.99990844726562,-67.32793426513672,-3.0001220703125,5,4,8,1763591462.0403035
99.99993896484375,-84.15998077392578,-3.00006103515625,5,4,8,1763591464.1713362
100.0,-125.95201873779297,-3.0,3,4,8,1763591469.3885844
99.99996948242188,-142.97596740722656,-3.00006103515625,3,4,8,1763591471.5289416
100.0,-160.12794494628906,-3.0001220703125,4,4,8,1763591473.633023
99.99990844726562,-176.9599609375,-2.99993896484375,4,4,8,1763591475.7523649
100.0,-193.9199676513672,-3.0001220703125,4,4,8,1763591477.8927715
100.0,-210.88002014160156,-3.0,4,4,8,1763591479.993212
99.99993896484375,-227.71194458007812,-3.00006103515625,4,4,8,1763591482.0893123
99.99996948242188,-244.60792541503906,-2.99993896484375,4,4,8,1763591484.1767871
100.0,-261.1839294433594,-3.0,4,4,8,1763591486.2642102
100.0,-277.9518737792969,-3.00006103515625,4,4,8,1763591488.3843212
100.00003051757812,-294.7839660644531,-2.99993896484375,4,4,8,1763591490.467217
100.00003051757812,-311.5519104003906,-3.0,4,4,8,1763591492.5602775
100.0,-328.3838806152344,-3.00006103515625,4,4,8,1763591494.6610527
99.99996948242188,-345.1519470214844,-3.00006103515625,4,4,8,1763591496.7950017
100.0,-362.367919921875,-3.00006103515625,4,4,8,1763591498.9231975
100.00003051757812,-379.3919677734375,-3.00006103515625,3,4,8,1763591501.0589755
100.00006103515625,-396.1598815917969,-3.0,3,4,8,1763591503.138953
100.0,-412.8638916015625,-3.00006103515625,3,4,8,1763591505.2217038
99.99993896484375,-429.75994873046875,-3.00006103515625,4,4,8,1763591507.3790102
99.99993896484375,-446.9119567871094,-3.0,4,4,8,1763591509.4768114
100.0,-463.55194091796875,-3.00006103515625,4,4,8,1763591511.5940473
99.99996948242188,-480.5118408203125,-3.00006103515625,4,4,8,1763591513.6991549
99.99990844726562,-497.1584167480469,-3.00006103515625,3,4,8,1763591515.8040032
