x,y,z,current_height,layer_height,print_speed,timestamp
99.99990844726562,499.99993896484375,-28.00006103515625,5,5,8,1762990288.1022332
99.9998779296875,489.7279968261719,-28.0,5,5,8,1762990290.1833744
100.0,472.8960266113281,-28.0,5,5,8,1762990292.3098674
99.99984741210938,456.0,-28.0,6,5,8,1762990294.4482462
99.99996948242188,438.97601318359375,-27.99993896484375,6,5,8,1762990296.539652
99.99990844726562,422.3998718261719,-28.00006103515625,6,5,8,1762990298.6395493
99.99993896484375,405.6319274902344,-28.00006103515625,6,5,8,1762990300.7158477
99.99996948242188,364.6080017089844,-28.00006103515625,5,5,8,1762990305.836554
99.9998779296875,348.09600830078125,-28.0,5,5,8,1762990307.8941581
99.99996948242188,331.3919677734375,-28.00006103515625,6,5,8,1762990309.9978642
99.99993896484375,314.3680114746094,-28.0,6,5,8,1762990312.125863
99.99990844726562,297.66400146484375,-28.0,6,5,8,1762990314.2263925
99.99993896484375,280.5119323730469,-28.0,6,5,8,1762990316.363646
99.99996948242188,239.29603576660156,-27.99993896484375,5,5,8,1762990321.50206
99.99990844726562,222.6559600830078,-28.0,5,5,8,1762990323.5901737
99.99993896484375,205.63201904296875,-27.99993896484375,5,5,8,1762990325.7201786
99.99990844726562,188.5440216064453,-28.0,5,5,8,1762990327.8629436
99.99996948242188,171.45602416992188,-28.00006103515625,6,5,8,1762990330.0133154
99.99993896484375,154.49600219726562,-28.0,6,5,8,1762990332.0996416
99.99993896484375,137.66395568847656,-28.0001220703125,6,5,8,1762990334.2080617
99.99996948242188,121.0880355834961,-28.0,6,5,8,1762990336.2823098
99.99996948242188,104.25604248046875,-28.0,6,5,8,1762990338.3879988
99.99996948242188,87.48802947998047,-28.0,6,5,8,1762990340.4726324
99.99996948242188,46.27199172973633,-28.0,4,5,8,1762990345.6488755
99.99990844726562,29.440046310424805,-28.0,5,5,8,1762990347.7344823
100.0,12.60800838470459,-28.0,4,5,8,1762990349.8664668
99.99993896484375,-4.415984153747559,-28.0,5,5,8,1762990352.0025861
99.99990844726562,-21.439971923828125,-28.0,5,5,8,1762990354.0965977
100.0,-38.207977294921875,-28.0,5,5,8,1762990356.2062783
99.99996948242188,-55.03999710083008,-27.99993896484375,5,5,8,1762990358.3184297
99.99996948242188,-72.0639419555664,-28.0,5,5,8,1762990360.4398832
100.0,-88.83197784423828,-28.0,5,5,8,1762990362.525141
100.0,-105.72801208496094,-28.00006103515625,5,5,8,1762990364.6485286
99.99996948242188,-122.62394714355469,-28.00006103515625,5,5,8,1762990366.7765968
99.99996948242188,-139.90394592285156,-27.99993896484375,5,5,8,1762990368.9345295
99.99990844726562,-156.7359161376953,-28.0,5,5,8,1762990371.017241
99.99996948242188,-173.8238983154297,-28.0,5,5,8,1762990373.1668236
99.99993896484375,-190.6559600830078,-28.0,5,5,8,1762990375.2511897
100.0,-207.35992431640625,-28.0,5,5,8,1762990377.3288367
100.0,-224.25601196289062,-28.0,5,5,8,1762990379.4841309
100.0,-241.2799835205078,-28.0,6,5,8,1762990381.566264
99.99996948242188,-257.79193115234375,-28.00006103515625,5,5,8,1762990383.6531942
99.99996948242188,-274.6239318847656,-28.0,6,5,8,1762990385.7427433
99.99993896484375,-291.39190673828125,-28.0001220703125,6,5,8,1762990387.8397872
100.00003051757812,-308.1598815917969,-28.00006103515625,6,5,8,1762990389.9651003
99.99996948242188,-324.9279479980469,-28.0,6,5,8,1762990392.0567942
100.00006103515625,-341.8238525390625,-28.0,6,5,8,1762990394.1420496
100.0,-358.5919189453125,-28.0,6,5,8,1762990396.247243
100.0,-375.679931640625,-28.00006103515625,5,5,8,1762990398.380609
99.99990844726562,-392.5118713378906,-28.0,5,5,8,1762990400.4891381
100.00006103515625,-409.4078369140625,-28.0,4,5,8,1762990402.5830045
99.99996948242188,-426.11187744140625,-28.0,5,5,8,1762990404.681201
99.99990844726562,-442.8158874511719,-28.0,5,5,8,1762990406.7616456
100.00003051757812,-459.5198974609375,-27.99993896484375,5,5,8,1762990408.8479106
99.99993896484375,-476.3519287109375,-28.0,5,5,8,1762990410.9608264
100.00003051757812,-493.37591552734375,-28.0,5,5,8,1762990413.1186724
