x,y,z,current_height,timestamp
-99.99995422363281,1.621246337890625e-05,-22.00006103515625,4,1758840710.4386942
-76.84002685546875,6.4373016357421875e-06,-22.00006103515625,4,1758840713.5447972
-60.000030517578125,0.45684027671813965,-22.00006103515625,4,1758840716.6077883
-60.000030517578125,27.959964752197266,-22.00006103515625,3,1758840719.6508772
-59.99993896484375,58.76005172729492,-22.00006103515625,3,1758840722.7435071
-60.00006103515625,89.55999755859375,-22.0001220703125,3,1758840725.8301928
-60.0,151.16001892089844,-22.0001220703125,5,1758840731.9723692
-60.000030517578125,182.0399627685547,-22.00018310546875,4,1758840735.0587075
-60.0,212.9199676513672,-22.0,4,1758840738.1636095
-59.99993896484375,244.11993408203125,-22.0001220703125,4,1758840741.285012
-59.99993896484375,275.08001708984375,-22.00006103515625,3,1758840744.360701
-60.000030517578125,305.7200012207031,-22.0001220703125,3,1758840747.4247575
-60.000030517578125,367.3199462890625,-22.00006103515625,4,1758840753.61195
-59.999969482421875,397.3452453613281,-22.0001220703125,3,1758840756.6533456
-48.359954833984375,400.0000305175781,-22.0001220703125,3,1758840759.728313
-17.640045166015625,400.0,-22.0001220703125,3,1758840762.8017135
13.239990234375,399.9999694824219,-22.0001220703125,2,1758840765.9121447
74.51992797851562,400.00006103515625,-22.0,4,1758840772.0217128
99.94537353515625,400.0000305175781,-22.00006103515625,4,1758840775.0984962
99.99996948242188,380.60003662109375,-22.00006103515625,4,1758840778.1730149
99.99993896484375,349.8800354003906,-22.00006103515625,5,1758840781.2475169
99.99993896484375,319.1600341796875,-22.00006103515625,5,1758840784.3129716
99.99996948242188,288.5199890136719,-22.0001220703125,6,1758840787.4057493
99.99996948242188,226.8399658203125,-22.0001220703125,4,1758840793.562631
100.0,195.9600067138672,-22.0001220703125,4,1758840796.645375
100.00006103515625,165.08006286621094,-22.0,5,1758840799.7434826
100.0,103.72004699707031,-22.00006103515625,4,1758840805.8745425
100.00006103515625,73.0000228881836,-22.00006103515625,4,1758840808.9557853
99.99996948242188,42.12004089355469,-22.00006103515625,4,1758840812.0184681
100.00003051757812,11.239988327026367,-22.0001220703125,5,1758840815.1163557
100.00006103515625,-19.479982376098633,-22.0001220703125,5,1758840818.1766834
100.00003051757812,-49.879981994628906,-22.00006103515625,5,1758840821.236367
100.00003051757812,-80.68002319335938,-22.00006103515625,5,1758840824.3128052
100.00003051757812,-111.80005645751953,-22.00006103515625,4,1758840827.4331017
100.0,-142.92001342773438,-22.00006103515625,4,1758840830.51989
100.00003051757812,-173.63999938964844,-22.0001220703125,4,1758840833.6150408
100.00003051757812,-204.52003479003906,-22.00006103515625,4,1758840836.6846223
100.0,-235.4800262451172,-22.0001220703125,4,1758840839.78741
100.00006103515625,-266.1199951171875,-22.00006103515625,4,1758840842.8421404
100.00003051757812,-296.76007080078125,-22.00006103515625,4,1758840845.921826
100.0,-327.55999755859375,-22.00006103515625,5,1758840848.9996436
100.0,-358.1199951171875,-22.00006103515625,4,1758840852.0535185
100.0,-389.0,-22.00006103515625,5,1758840855.1456387
96.31869506835938,-400.00006103515625,-22.00006103515625,5,1758840858.2200625
35.320037841796875,-400.0000305175781,-22.00006103515625,7,1758840864.3303964
-46.20001220703125,-399.9999694824219,-22.00018310546875,5,1758840872.4802303
-60.000030517578125,-398.6202087402344,-22.00006103515625,5,1758840875.56113
-60.0,-369.0000305175781,-22.00006103515625,5,1758840878.6735885
-60.0,-337.8799743652344,-22.0001220703125,5,1758840881.7991438
-60.0,-306.6800842285156,-22.00018310546875,5,1758840884.9091408
-60.0,-275.55999755859375,-22.00006103515625,5,1758840888.0139797
-60.000030517578125,-244.75999450683594,-22.0001220703125,5,1758840891.0961244
-60.000030517578125,-213.80003356933594,-22.00006103515625,5,1758840894.1837227
-60.0,-183.1600799560547,-22.00006103515625,5,1758840897.2589216
-60.000030517578125,-152.0399627685547,-22.0001220703125,5,1758840900.3774118
-60.000030517578125,-121.00003051757812,-22.0001220703125,5,1758840903.4749289
-60.0,-90.03996276855469,-22.0001220703125,5,1758840906.5686097
-60.00006103515625,-28.280004501342773,-22.00006103515625,3,1758840912.7483158
-60.0,-0.3798255920410156,-22.00006103515625,4,1758840915.8608615
