x,y,z,current_height,layer_height,print_speed,timestamp
99.99990844726562,499.9999694824219,-28.50006103515625,6,5,8,1762990674.6566403
99.99990844726562,490.11199951171875,-28.50006103515625,5,5,8,1762990676.723434
99.99993896484375,473.6000061035156,-28.50006103515625,5,5,8,1762990678.8224277
99.99996948242188,456.8960266113281,-28.50006103515625,6,5,8,1762990680.8792498
99.99990844726562,440.3199768066406,-28.49993896484375,6,5,8,1762990682.9293268
99.99993896484375,424.0639343261719,-28.50006103515625,6,5,8,1762990684.9813638
99.99990844726562,407.4879150390625,-28.50006103515625,7,5,8,1762990687.066066
99.99993896484375,390.84796142578125,-28.5,7,5,8,1762990689.1663258
99.99996948242188,374.14398193359375,-28.50006103515625,8,5,8,1762990691.2580667
99.99990844726562,357.3759765625,-28.50006103515625,8,5,8,1762990693.3422852
99.99993896484375,340.73602294921875,-28.49993896484375,8,5,8,1762990695.3811078
99.99993896484375,324.35198974609375,-28.5001220703125,8,5,8,1762990697.4332232
99.99996948242188,307.9679870605469,-28.5,8,5,8,1762990699.5104122
99.99990844726562,291.199951171875,-28.50006103515625,9,5,8,1762990701.6065297
99.9998779296875,274.55999755859375,-28.50006103515625,9,5,8,1762990703.666589
99.99993896484375,258.2400207519531,-28.50006103515625,9,5,8,1762990705.706821
99.99993896484375,241.72804260253906,-28.50006103515625,10,5,8,1762990707.782346
99.99990844726562,225.15196228027344,-28.50006103515625,9,5,8,1762990709.848588
99.99993896484375,208.6399688720703,-28.50006103515625,9,5,8,1762990711.9354863
99.99993896484375,191.93597412109375,-28.50006103515625,10,5,8,1762990714.0071082
99.99996948242188,175.4879913330078,-28.50006103515625,10,5,8,1762990716.0432518
99.99996948242188,159.23194885253906,-28.50006103515625,10,5,8,1762990718.0908952
99.99996948242188,142.6559600830078,-28.5001220703125,11,5,8,1762990720.1808212
99.99996948242188,125.9520492553711,-28.50006103515625,11,5,8,1762990722.2493844
99.99990844726562,109.56800079345703,-28.50006103515625,11,5,8,1762990724.288575
99.99996948242188,93.0560531616211,-28.50006103515625,11,5,8,1762990726.3610537
99.99996948242188,76.416015625,-28.50006103515625,12,5,8,1762990728.4351645
100.0,59.904014587402344,-28.5,12,5,8,1762990730.4930544
99.99993896484375,43.392005920410156,-28.50006103515625,11,5,8,1762990732.5615222
99.99993896484375,27.007999420166016,-28.50006103515625,11,5,8,1762990734.622577
99.99996948242188,10.496026992797852,-28.5,12,5,8,1762990736.6747632
99.99993896484375,-5.951965808868408,-28.50006103515625,12,5,8,1762990738.713568
99.99993896484375,-22.271976470947266,-28.5,12,5,8,1762990740.7716155
99.99996948242188,-38.84794998168945,-28.50006103515625,12,5,8,1762990742.8486667
99.99996948242188,-55.35997772216797,-28.49993896484375,12,5,8,1762990744.9392307
99.99996948242188,-71.93595886230469,-28.5,12,5,8,1762990746.9848292
99.99996948242188,-88.31995391845703,-28.50006103515625,12,5,8,1762990749.017711
100.00006103515625,-104.76797485351562,-28.5,12,5,8,1762990751.0665329
99.99993896484375,-120.9599609375,-28.50006103515625,12,5,8,1762990753.10294
99.99996948242188,-137.40797424316406,-28.5,12,5,8,1762990755.166963
100.0,-153.919921875,-28.50006103515625,12,5,8,1762990757.2466102
100.0,-170.55999755859375,-28.5,12,5,8,1762990759.2993884
100.0,-186.87994384765625,-28.50006103515625,12,5,8,1762990761.328747
100.0,-203.13592529296875,-28.50006103515625,13,5,8,1762990763.3590894
99.99996948242188,-219.45599365234375,-28.50006103515625,12,5,8,1762990765.453457
99.99996948242188,-236.031982421875,-28.49993896484375,13,5,8,1762990767.503813
99.99996948242188,-252.54391479492188,-28.5,13,5,8,1762990769.5457566
99.99996948242188,-268.8639221191406,-28.5,13,5,8,1762990771.5763607
100.00003051757812,-285.1198425292969,-28.50006103515625,13,5,8,1762990773.639826
100.0,-301.75994873046875,-28.5,13,5,8,1762990775.705863
100.00003051757812,-318.20794677734375,-28.5,13,5,8,1762990777.7633886
100.0,-334.59197998046875,-28.50006103515625,13,5,8,1762990779.8186798
100.0,-351.0399169921875,-28.5,13,5,8,1762990781.8976388
100.00003051757812,-367.807861328125,-28.50006103515625,12,5,8,1762990783.9556248
99.99996948242188,-384.19183349609375,-28.50006103515625,13,5,8,1762990786.039378
99.99996948242188,-400.9599609375,-28.5,13,5,8,1762990788.0991547
100.00003051757812,-417.2159423828125,-28.5,13,5,8,1762990790.123859
99.99996948242188,-433.599853515625,-28.50006103515625,12,5,8,1762990792.1865542
99.99993896484375,-450.0478820800781,-28.5,13,5,8,1762990794.2732894
99.99996948242188,-466.68792724609375,-28.5001220703125,12,5,8,1762990796.3291993
99.99993896484375,-483.07196044921875,-28.5,12,5,8,1762990798.3713422
99.99993896484375,-498.5950012207031,-28.5,12,5,8,1762990800.4320529
