x,y,z,current_height,layer_height,print_speed,timestamp
99.99996948242188,499.9998779296875,-1.00006103515625,4,4,8,1763410846.610213
99.9998779296875,490.2400207519531,-1.00006103515625,5,4,8,1763410848.697776
99.99993896484375,473.7279052734375,-1.00006103515625,1,4,8,1763410850.7233815
99.99996948242188,457.40789794921875,-1.00006103515625,1,4,8,1763410852.7870162
100.0,440.89593505859375,-1.00006103515625,2,4,8,1763410854.8731592
99.99990844726562,424.0639953613281,-1.0001220703125,1,4,8,1763410856.9740837
99.99990844726562,407.4880065917969,-1.0,2,4,8,1763410859.0381396
99.99993896484375,390.783935546875,-1.0001220703125,2,4,8,1763410861.0879076
99.99993896484375,374.4639892578125,-1.00006103515625,3,4,8,1763410863.1745498
99.99993896484375,357.82391357421875,-0.99993896484375,2,4,8,1763410865.2331572
99.99990844726562,341.2479248046875,-1.00006103515625,2,4,8,1763410867.3038702
100.0,324.6719055175781,-1.00006103515625,3,4,8,1763410869.3947086
99.99993896484375,307.9678955078125,-1.0,3,4,8,1763410871.4687748
99.99996948242188,291.45599365234375,-1.0001220703125,3,4,8,1763410873.5550075
99.99996948242188,274.7519836425781,-1.00006103515625,3,4,8,1763410875.602759
99.99993896484375,258.4319152832031,-1.0,3,4,8,1763410877.6725178
99.99990844726562,241.7919921875,-1.0,4,4,8,1763410879.76082
99.99993896484375,225.0240020751953,-1.00006103515625,4,4,8,1763410881.818729
100.0,208.51193237304688,-1.0001220703125,5,4,8,1763410883.8797643
99.99993896484375,192.12796020507812,-1.00006103515625,5,4,8,1763410885.9423802
99.99990844726562,175.74395751953125,-1.00006103515625,6,4,8,1763410887.9860375
99.99993896484375,159.29592895507812,-1.00006103515625,9,4,8,1763410890.07223
100.0,142.4639892578125,-1.0,10,4,8,1763410892.168208
100.0,125.88800048828125,-1.0,10,4,8,1763410894.2228987
99.99996948242188,109.44001770019531,-1.0,10,4,8,1763410896.259004
99.99996948242188,93.11995697021484,-1.0001220703125,10,4,8,1763410898.315004
99.99996948242188,76.67203521728516,-0.99993896484375,10,4,8,1763410900.376157
100.00003051757812,60.22401428222656,-1.0,10,4,8,1763410902.4150918
100.00003051757812,43.84000015258789,-1.0,10,4,8,1763410904.4688594
99.99996948242188,27.391998291015625,-1.00006103515625,11,4,8,1763410906.558389
100.0,10.623990058898926,-1.0001220703125,9,4,8,1763410908.6293366
100.00006103515625,-5.887984752655029,-1.00006103515625,7,4,8,1763410910.718603
100.00003051757812,-22.65597152709961,-0.9998779296875,7,4,8,1763410912.790289
99.99990844726562,-39.167945861816406,-1.0,7,4,8,1763410914.8543262
99.99996948242188,-55.679988861083984,-1.0001220703125,7,4,8,1763410916.916901
100.00003051757812,-72.0639877319336,-1.0,7,4,8,1763410918.982287
99.99993896484375,-88.83194732666016,-1.0,8,4,8,1763410921.043321
100.00003051757812,-105.08796691894531,-0.99993896484375,8,4,8,1763410923.1146948
100.00006103515625,-121.85596466064453,-1.00006103515625,8,4,8,1763410925.2170622
100.00003051757812,-138.4320068359375,-1.0,9,4,8,1763410927.2582517
100.0,-154.9439239501953,-1.00006103515625,8,4,8,1763410929.330441
100.0,-171.51995849609375,-0.99993896484375,8,4,8,1763410931.4011402
100.00006103515625,-188.03195190429688,-0.99993896484375,8,4,8,1763410933.4830894
100.0,-204.7359619140625,-1.0,9,4,8,1763410935.5309982
100.0,-221.11997985839844,-1.0,9,4,8,1763410937.6272857
100.0,-237.7599334716797,-1.00006103515625,9,4,8,1763410939.6952739
100.00006103515625,-254.46395874023438,-1.00006103515625,9,4,8,1763410941.7907882
100.00003051757812,-271.2319641113281,-1.0,9,4,8,1763410943.8782828
100.0,-287.7439270019531,-0.99993896484375,8,4,8,1763410945.938742
100.00006103515625,-304.19189453125,-1.0,12,4,8,1763410947.9767816
100.0,-320.6399230957031,-1.0,11,4,8,1763410950.0428085
99.99996948242188,-337.2158508300781,-1.0,12,4,8,1763410952.1342626
100.00006103515625,-353.7919616699219,-1.0,12,4,8,1763410954.162905
100.0,-370.1759033203125,-1.0,12,4,8,1763410956.254671
99.99996948242188,-386.8800048828125,-1.0,12,4,8,1763410958.3441963
99.99996948242188,-403.6479797363281,-1.0,12,4,8,1763410960.427199
100.00006103515625,-420.2878723144531,-1.0,12,4,8,1763410962.4982216
100.0,-436.7998962402344,-1.0,12,4,8,1763410964.5850892
99.99993896484375,-453.5679016113281,-1.0,12,4,8,1763410966.655424
99.99996948242188,-469.951904296875,-1.0,12,4,8,1763410968.7032397
100.0,-486.5280456542969,-1.0,12,4,8,1763410970.786829
99.99996948242188,-499.82904052734375,-1.0,12,4,8,1763410972.8433292
