id,group_tag,print_tag,image_tag1,image_tag2,vision_capture,humidity,temperature,print_speed,layer_width,layer_height,nozzle_height
77,User_20250605-133630_SSE,20250605-133631_p1,None,None,c_20250605-133631.jpg,33.0,20.6,200.0,0.0,0.0,270.0
78,User_20250605-133630_SSE,20250605-133642_p2,None,None,c_20250605-133642.jpg,33.1,20.6,200.0,0.0,0.0,270.0
79,User_20250605-133630_SSE,20250605-133654_p3,None,None,c_20250605-133654.jpg,33.1,20.6,200.0,0.0,0.0,270.0
80,User_20250605-133630_SSE,20250605-133704_p4,None,None,c_20250605-133704.jpg,33.1,20.6,200.0,0.0,0.0,270.0
81,User_20250605-133630_SSE,20250605-133714_p5,None,None,c_20250605-133714.jpg,33.1,20.6,200.0,0.0,0.0,270.0
82,User_20250605-133630_SSE,20250605-133728_p6,None,None,c_20250605-133728.jpg,33.1,20.6,20.0,0.0,0.0,270.0
83,User_20250605-133630_SSE,20250605-133738_p7,None,None,c_20250605-133738.jpg,33.1,20.6,20.0,0.0,0.0,270.0
84,User_20250605-133630_SSE,20250605-133749_p8,None,None,c_20250605-133749.jpg,33.0,20.6,80.0,0.0,0.0,270.0
85,User_20250605-133630_SSE,20250605-133802_p9,None,None,c_20250605-133802.jpg,33.0,20.6,200.0,0.0,0.0,270.0
86,User_20250605-133630_SSE,20250605-133813_p10,None,None,c_20250605-133813.jpg,33.0,20.6,200.0,0.0,0.0,270.0
87,User_20250605-133630_SSE,20250605-133823_p11,None,None,c_20250605-133823.jpg,33.1,20.6,200.0,0.0,0.0,270.0
88,User_20250605-133630_SSE,20250605-133836_p12,None,None,c_20250605-133836.jpg,33.0,20.6,200.0,0.0,0.0,270.0
89,User_20250605-133630_SSE,20250605-133847_p13,None,None,c_20250605-133847.jpg,33.1,20.6,200.0,0.0,0.0,270.0
90,User_20250605-133630_SSE,20250605-133857_p14,None,None,c_20250605-133857.jpg,33.1,20.6,200.0,0.0,0.0,270.0
91,User_20250605-133630_SSE,20250605-133911_p15,None,None,c_20250605-133911.jpg,33.2,20.6,200.0,0.0,0.0,270.0
92,User_20250605-133630_SSE,20250605-133921_p16,None,None,c_20250605-133921.jpg,33.1,20.6,200.0,0.0,0.0,270.0
93,User_20250605-133630_SSE,20250605-133931_p17,None,None,c_20250605-133931.jpg,33.1,20.6,200.0,0.0,0.0,270.0
94,User_20250605-133630_SSE,20250605-133944_p18,None,None,c_20250605-133944.jpg,33.1,20.6,200.0,0.0,0.0,270.0
95,User_20250605-133630_SSE,20250605-133955_p19,None,None,c_20250605-133955.jpg,33.1,20.6,20.0,0.0,0.0,270.0
96,User_20250605-133630_SSE,20250605-134005_p20,None,None,c_20250605-134005.jpg,33.1,20.6,20.0,0.0,0.0,270.0
97,User_20250605-133630_SSE,20250605-134019_p21,None,None,c_20250605-134019.jpg,33.1,20.6,80.0,0.0,0.0,270.0
98,User_20250605-133630_SSE,20250605-134029_p22,None,None,c_20250605-134029.jpg,33.0,20.6,160.0,36.0,22.956521739130434,257.0
99,User_20250605-133630_SSE,20250605-134040_p23,None,None,c_20250605-134040.jpg,33.0,20.6,200.0,7.739130434782608,5.565217391304348,256.0
