Timestamp,Captured Image,Processed Image,Width (mm),Height (mm)
20250521-131730,c_20250521-131730.jpg,p_20250521-131730.jpg,7.46,6.74
20250521-131741,c_20250521-131741.jpg,p_20250521-131741.jpg,7.46,6.74
20250521-131752,c_20250521-131752.jpg,p_20250521-131752.jpg,18.55,15.65
20250521-131804,c_20250521-131804.jpg,p_20250521-131804.jpg,7.46,6.88
20250521-131815,c_20250521-131815.jpg,p_20250521-131815.jpg,7.39,7.17
20250521-131826,c_20250521-131826.jpg,p_20250521-131826.jpg,18.48,15.65
20250521-131839,c_20250521-131839.jpg,p_20250521-131839.jpg,18.48,16.09
20250521-131850,c_20250521-131850.jpg,p_20250521-131850.jpg,7.46,7.25
20250521-131901,c_20250521-131901.jpg,p_20250521-131901.jpg,7.46,7.32
20250521-131913,c_20250521-131913.jpg,p_20250521-131913.jpg,18.48,16.09
20250521-131923,c_20250521-131923.jpg,p_20250521-131923.jpg,18.48,15.72
20250521-131934,c_20250521-131934.jpg,p_20250521-131934.jpg,18.48,15.65
20250521-131947,c_20250521-131947.jpg,p_20250521-131947.jpg,18.48,15.65
20250521-131958,c_20250521-131958.jpg,p_20250521-131958.jpg,18.41,15.65
20250521-132009,c_20250521-132009.jpg,p_20250521-132009.jpg,18.48,15.65
20250521-153418,c_20250521-153418.jpg,p_20250521-153418.jpg,46.38,34.78
20250521-153437,c_20250521-153437.jpg,p_20250521-153437.jpg,46.38,34.78
20250521-153447,c_20250521-153447.jpg,p_20250521-153447.jpg,46.38,34.78
20250521-153458,c_20250521-153458.jpg,p_20250521-153458.jpg,46.38,34.78
20250521-153511,c_20250521-153511.jpg,p_20250521-153511.jpg,46.38,34.78
20250521-153522,c_20250521-153522.jpg,p_20250521-153522.jpg,46.38,34.78
20250521-153532,c_20250521-153532.jpg,p_20250521-153532.jpg,42.46,34.78
20250521-153545,c_20250521-153545.jpg,p_20250521-153545.jpg,15.65,19.49
20250523-114602,c_20250523-114602.jpg,p_20250523-114602.jpg,23.55,9.64
20250523_114623,c_20250523_114623.jpg,p_20250523_114623.jpg,21.45,9.57
20250523_114905,c_20250523_114905.jpg,p_20250523_114905.jpg,46.38,29.78
20250523_114931,c_20250523_114931.jpg,p_20250523_114931.jpg,43.77,32.90
20250523_152434,c_20250523_152434.jpg,p_20250523_152434.jpg,10.94,8.04
20250523_152436,c_20250523_152436.jpg,p_20250523_152436.jpg,8.26,24.06
20250523_152437,c_20250523_152437.jpg,p_20250523_152437.jpg,8.41,24.06
20250523_152440,c_20250523_152440.jpg,p_20250523_152440.jpg,8.26,24.06
20250523_152456,c_20250523_152456.jpg,p_20250523_152456.jpg,14.20,10.58
20250523_152456,c_20250523_152456.jpg,p_20250523_152456.jpg,19.64,10.29
20250523_152457,c_20250523_152457.jpg,p_20250523_152457.jpg,14.13,12.03
20250523_152518,c_20250523_152518.jpg,p_20250523_152518.jpg,19.93,11.59
20250523_152656,c_20250523_152656.jpg,p_20250523_152656.jpg,46.38,16.23
20250523_152657,c_20250523_152657.jpg,p_20250523_152657.jpg,46.38,14.35
20250523_152736,c_20250523_152736.jpg,p_20250523_152736.jpg,43.04,17.54
20250523_152907,c_20250523_152907.jpg,p_20250523_152907.jpg,19.49,14.86
20250523_152908,c_20250523_152908.jpg,p_20250523_152908.jpg,20.51,14.93
20250523_152909,c_20250523_152909.jpg,p_20250523_152909.jpg,21.38,24.93
20250523_152910,c_20250523_152910.jpg,p_20250523_152910.jpg,16.74,14.93
20250523_152910,c_20250523_152910.jpg,p_20250523_152910.jpg,18.26,14.71
20250523_152911,c_20250523_152911.jpg,p_20250523_152911.jpg,21.38,14.71
20250523_153036,c_20250523_153036.jpg,p_20250523_153036.jpg,16.30,14.93
20250523_153039,c_20250523_153039.jpg,p_20250523_153039.jpg,20.65,16.59
20250523_153250,c_20250523_153250.jpg,p_20250523_153250.jpg,46.38,30.00
20250523_153254,c_20250523_153254.jpg,p_20250523_153254.jpg,43.48,29.13
20250523_153257,c_20250523_153257.jpg,p_20250523_153257.jpg,46.38,27.97
20250523_153259,c_20250523_153259.jpg,p_20250523_153259.jpg,27.54,27.17
