Timestamp,Captured Image,Processed Image,Width (mm),Height (mm)
20250512-135228_vision,captured_image_20250512-135228_vision.jpg,processed_image_20250512-135228_vision.jpg,37.07,31.53
20250512-135942_vision,captured_image_20250512-135942_vision.jpg,processed_image_20250512-135942_vision.jpg,39.40,32.00
20250512-140029_vision,captured_image_20250512-140029_vision.jpg,processed_image_20250512-140029_vision.jpg,37.07,32.00
20250512-140036_vision,captured_image_20250512-140036_vision.jpg,processed_image_20250512-140036_vision.jpg,37.07,32.00
20250512-141923_vision,captured_image_20250512-141923_vision.jpg,processed_image_20250512-141923_vision.jpg,42.67,32.00
20250512-142803_vision,captured_image_20250512-142803_vision.jpg,processed_image_20250512-142803_vision.jpg,37.00,32.00
20250512-143249_vision,captured_image_20250512-143249_vision.jpg,processed_image_20250512-143249_vision.jpg,37.47,32.00
20250512-143828_vision,captured_image_20250512-143828_vision.jpg,processed_image_20250512-143828_vision.jpg,42.67,32.00
20250512-143838_vision,captured_image_20250512-143838_vision.jpg,processed_image_20250512-143838_vision.jpg,42.67,32.00
20250512-143849_vision,captured_image_20250512-143849_vision.jpg,processed_image_20250512-143849_vision.jpg,42.67,32.00
20250512-143859_vision,captured_image_20250512-143859_vision.jpg,processed_image_20250512-143859_vision.jpg,42.67,32.00
20250512-145222_vision,captured_image_20250512-145222_vision.jpg,processed_image_20250512-145222_vision.jpg,42.67,32.00
20250512-145232_vision,captured_image_20250512-145232_vision.jpg,processed_image_20250512-145232_vision.jpg,42.67,32.00
20250512-150231_vision,captured_image_20250512-150231_vision.jpg,processed_image_20250512-150231_vision.jpg,37.73,32.00
20250512-150246_vision,captured_image_20250512-150246_vision.jpg,processed_image_20250512-150246_vision.jpg,42.67,32.00
20250512-150249_vision,captured_image_20250512-150249_vision.jpg,processed_image_20250512-150249_vision.jpg,42.67,32.00
20250512-150502_vision,captured_image_20250512-150502_vision.jpg,processed_image_20250512-150502_vision.jpg,42.67,32.00
20250512-150513_vision,captured_image_20250512-150513_vision.jpg,processed_image_20250512-150513_vision.jpg,42.67,32.00
20250512-150515_vision,captured_image_20250512-150515_vision.jpg,processed_image_20250512-150515_vision.jpg,42.67,32.00
20250512-150518_vision,captured_image_20250512-150518_vision.jpg,processed_image_20250512-150518_vision.jpg,37.53,32.00
20250512-150854_vision,captured_image_20250512-150854_vision.jpg,processed_image_20250512-150854_vision.jpg,42.67,32.00
20250512-150905_vision,captured_image_20250512-150905_vision.jpg,processed_image_20250512-150905_vision.jpg,42.67,32.00
20250512-150915_vision,captured_image_20250512-150915_vision.jpg,processed_image_20250512-150915_vision.jpg,42.67,32.00
20250512-150926_vision,captured_image_20250512-150926_vision.jpg,processed_image_20250512-150926_vision.jpg,37.47,32.00
20250512-150929_vision,captured_image_20250512-150929_vision.jpg,processed_image_20250512-150929_vision.jpg,42.67,32.00
20250512-150932_vision,captured_image_20250512-150932_vision.jpg,processed_image_20250512-150932_vision.jpg,37.73,32.00
20250512-151956_vision,captured_image_20250512-151956_vision.jpg,processed_image_20250512-151956_vision.jpg,42.67,32.00
20250512-152006_vision,captured_image_20250512-152006_vision.jpg,processed_image_20250512-152006_vision.jpg,42.67,32.00
20250512-152017_vision,captured_image_20250512-152017_vision.jpg,processed_image_20250512-152017_vision.jpg,37.87,32.00
20250512-152027_vision,captured_image_20250512-152027_vision.jpg,processed_image_20250512-152027_vision.jpg,42.67,32.00
20250512-152038_vision,captured_image_20250512-152038_vision.jpg,processed_image_20250512-152038_vision.jpg,42.67,32.00
20250512-152049_vision,captured_image_20250512-152049_vision.jpg,processed_image_20250512-152049_vision.jpg,37.53,32.00
20250512-152627_vision,captured_image_20250512-152627_vision.jpg,processed_image_20250512-152627_vision.jpg,36.93,32.00
20250512-152638_vision,captured_image_20250512-152638_vision.jpg,processed_image_20250512-152638_vision.jpg,42.67,32.00
20250512-152648_vision,captured_image_20250512-152648_vision.jpg,processed_image_20250512-152648_vision.jpg,37.73,32.00
20250512-152651_vision,captured_image_20250512-152651_vision.jpg,processed_image_20250512-152651_vision.jpg,42.67,32.00
20250512-152654_vision,captured_image_20250512-152654_vision.jpg,processed_image_20250512-152654_vision.jpg,42.67,32.00
20250512-153901_vision,captured_image_20250512-153901_vision.jpg,processed_image_20250512-153901_vision.jpg,42.67,32.00
20250512-153912_vision,captured_image_20250512-153912_vision.jpg,processed_image_20250512-153912_vision.jpg,42.67,32.00
20250512-153914_vision,captured_image_20250512-153914_vision.jpg,processed_image_20250512-153914_vision.jpg,42.67,32.00
20250512-153917_vision,captured_image_20250512-153917_vision.jpg,processed_image_20250512-153917_vision.jpg,36.87,32.00
20250512-153920_vision,captured_image_20250512-153920_vision.jpg,processed_image_20250512-153920_vision.jpg,42.67,32.00
20250512-153923_vision,captured_image_20250512-153923_vision.jpg,processed_image_20250512-153923_vision.jpg,42.67,32.00
20250512-153925_vision,captured_image_20250512-153925_vision.jpg,processed_image_20250512-153925_vision.jpg,42.67,32.00
20250512-154426_vision,captured_image_20250512-154426_vision.jpg,p_20250512-154426_vision.jpg,42.67,32.00
20250512-154436_vision,captured_image_20250512-154436_vision.jpg,p_20250512-154436_vision.jpg,42.67,32.00
20250512-154447_vision,captured_image_20250512-154447_vision.jpg,p_20250512-154447_vision.jpg,36.93,32.00
20250512-154458_vision,captured_image_20250512-154458_vision.jpg,p_20250512-154458_vision.jpg,37.40,32.00
20250512-154509_vision,captured_image_20250512-154509_vision.jpg,p_20250512-154509_vision.jpg,42.67,32.00
20250512-155102_v,c_20250512-155102_v.jpg,p_20250512-155102_v.jpg,42.67,32.00
20250512-155104_v,c_20250512-155104_v.jpg,p_20250512-155104_v.jpg,42.67,32.00
20250512-155107_v,c_20250512-155107_v.jpg,p_20250512-155107_v.jpg,37.20,32.00
20250512-155109_v,c_20250512-155109_v.jpg,p_20250512-155109_v.jpg,37.07,32.00
20250512-155112_v,c_20250512-155112_v.jpg,p_20250512-155112_v.jpg,37.60,32.00
20250512-155114_v,c_20250512-155114_v.jpg,p_20250512-155114_v.jpg,37.20,32.00
20250512-155117_v,c_20250512-155117_v.jpg,p_20250512-155117_v.jpg,42.67,32.00
20250512-155120_v,c_20250512-155120_v.jpg,p_20250512-155120_v.jpg,42.67,32.00
20250512-155122_v,c_20250512-155122_v.jpg,p_20250512-155122_v.jpg,36.93,32.00
20250512-160512,c_20250512-160512.jpg,p_20250512-160512.jpg,37.27,32.00
20250512-160523,c_20250512-160523.jpg,p_20250512-160523.jpg,42.67,32.00
20250512-161755,c_20250512-161755.jpg,p_20250512-161755.jpg,42.67,32.00
20250512-161757,c_20250512-161757.jpg,p_20250512-161757.jpg,42.67,32.00
20250512-161800,c_20250512-161800.jpg,p_20250512-161800.jpg,42.67,32.00
20250512-161803,c_20250512-161803.jpg,p_20250512-161803.jpg,42.67,32.00
20250512-161805,c_20250512-161805.jpg,p_20250512-161805.jpg,42.67,32.00
20250512-162550,c_20250512-162550.jpg,p_20250512-162550.jpg,42.67,32.00
20250512-162553,c_20250512-162553.jpg,p_20250512-162553.jpg,42.67,32.00
20250512-162555,c_20250512-162555.jpg,p_20250512-162555.jpg,37.60,32.00
20250512-162558,c_20250512-162558.jpg,p_20250512-162558.jpg,42.67,32.00
20250512-162601,c_20250512-162601.jpg,p_20250512-162601.jpg,42.67,32.00
20250512-162603,c_20250512-162603.jpg,p_20250512-162603.jpg,42.67,32.00
20250512-162606,c_20250512-162606.jpg,p_20250512-162606.jpg,42.67,32.00
20250512-233449,c_20250512-233449.jpg,p_20250512-233449.jpg,32.93,32.00
20250521-113850,c_20250521-113850.jpg,p_20250521-113850.jpg,40.07,27.07
20250521-113900,c_20250521-113900.jpg,p_20250521-113900.jpg,40.27,27.07
20250521-113948,c_20250521-113948.jpg,p_20250521-113948.jpg,39.10,26.06
20250521-113959,c_20250521-113959.jpg,p_20250521-113959.jpg,39.61,26.19
20250521-114051,c_20250521-114051.jpg,p_20250521-114051.jpg,37.15,24.48
20250521-114101,c_20250521-114101.jpg,p_20250521-114101.jpg,36.91,24.42
20250521-114137,c_20250521-114137.jpg,p_20250521-114137.jpg,43.57,28.79
20250521-114230,c_20250521-114230.jpg,p_20250521-114230.jpg,44.35,29.06
20250521-121158,c_20250521-121158.jpg,p_20250521-121158.jpg,22.68,34.78
20250521-121209,c_20250521-121209.jpg,p_20250521-121209.jpg,33.26,19.64
20250521-121223,c_20250521-121223.jpg,p_20250521-121223.jpg,46.38,34.78
20250521-121234,c_20250521-121234.jpg,p_20250521-121234.jpg,19.35,28.77
20250521-121245,c_20250521-121245.jpg,p_20250521-121245.jpg,46.38,29.42
20250521-121255,c_20250521-121255.jpg,p_20250521-121255.jpg,46.38,32.10
20250521-121306,c_20250521-121306.jpg,p_20250521-121306.jpg,46.38,31.09
20250521-121317,c_20250521-121317.jpg,p_20250521-121317.jpg,46.38,32.17
20250521-121328,c_20250521-121328.jpg,p_20250521-121328.jpg,46.38,32.10
20250521-121339,c_20250521-121339.jpg,p_20250521-121339.jpg,46.38,33.33
20250521-121349,c_20250521-121349.jpg,p_20250521-121349.jpg,46.38,34.78
20250521-121400,c_20250521-121400.jpg,p_20250521-121400.jpg,46.38,34.78
20250521-121411,c_20250521-121411.jpg,p_20250521-121411.jpg,46.38,34.78
20250521-121424,c_20250521-121424.jpg,p_20250521-121424.jpg,46.38,32.46
20250521-121434,c_20250521-121434.jpg,p_20250521-121434.jpg,46.38,31.52
20250521-121445,c_20250521-121445.jpg,p_20250521-121445.jpg,46.38,30.65
20250521-121456,c_20250521-121456.jpg,p_20250521-121456.jpg,46.38,30.65
20250521-121510,c_20250521-121510.jpg,p_20250521-121510.jpg,46.38,29.49
20250521-121521,c_20250521-121521.jpg,p_20250521-121521.jpg,46.38,25.07
20250521-121531,c_20250521-121531.jpg,p_20250521-121531.jpg,46.16,23.33
20250521-121544,c_20250521-121544.jpg,p_20250521-121544.jpg,45.14,21.16
20250521-121555,c_20250521-121555.jpg,p_20250521-121555.jpg,46.38,22.39
20250521-121606,c_20250521-121606.jpg,p_20250521-121606.jpg,46.38,22.83
20250521-121618,c_20250521-121618.jpg,p_20250521-121618.jpg,46.38,19.71
20250521-121629,c_20250521-121629.jpg,p_20250521-121629.jpg,46.16,19.57
20250521-121640,c_20250521-121640.jpg,p_20250521-121640.jpg,41.30,19.64
20250521-121747,c_20250521-121747.jpg,p_20250521-121747.jpg,3.77,2.10
20250521-122950,c_20250521-122950.jpg,p_20250521-122950.jpg,46.38,32.17
20250521-123001,c_20250521-123001.jpg,p_20250521-123001.jpg,46.38,31.59
20250521-123012,c_20250521-123012.jpg,p_20250521-123012.jpg,46.38,32.25
20250521-123023,c_20250521-123023.jpg,p_20250521-123023.jpg,46.38,32.03
20250521-123033,c_20250521-123033.jpg,p_20250521-123033.jpg,46.38,32.17
20250521-123046,c_20250521-123046.jpg,p_20250521-123046.jpg,46.38,31.16
20250521-123056,c_20250521-123056.jpg,p_20250521-123056.jpg,46.38,32.17
20250521-123107,c_20250521-123107.jpg,p_20250521-123107.jpg,46.38,31.30
20250521-123120,c_20250521-123120.jpg,p_20250521-123120.jpg,46.38,31.59
20250521-123131,c_20250521-123131.jpg,p_20250521-123131.jpg,46.38,30.00
20250521-123141,c_20250521-123141.jpg,p_20250521-123141.jpg,46.38,29.06
20250521-123154,c_20250521-123154.jpg,p_20250521-123154.jpg,46.38,28.55
20250521-123205,c_20250521-123205.jpg,p_20250521-123205.jpg,46.38,28.84
20250521-123215,c_20250521-123215.jpg,p_20250521-123215.jpg,46.38,28.04
20250521-123228,c_20250521-123228.jpg,p_20250521-123228.jpg,46.38,27.90
20250521-123239,c_20250521-123239.jpg,p_20250521-123239.jpg,46.38,25.00
20250521-123249,c_20250521-123249.jpg,p_20250521-123249.jpg,46.38,27.46
20250521-123302,c_20250521-123302.jpg,p_20250521-123302.jpg,46.38,27.32
20250521-123313,c_20250521-123313.jpg,p_20250521-123313.jpg,46.38,27.90
20250521-123324,c_20250521-123324.jpg,p_20250521-123324.jpg,46.38,25.94
20250521-123336,c_20250521-123336.jpg,p_20250521-123336.jpg,46.38,25.51
