Timestamp,Captured Image,Processed Image,Width (mm),Height (mm)
20250506_113523,captured_image_20250506_113523.jpg,processed_image_20250506_113523.jpg,110.69,31.90
20250506_113524,captured_image_20250506_113524.jpg,processed_image_20250506_113524.jpg,110.69,46.19
20250506_113526,captured_image_20250506_113526.jpg,processed_image_20250506_113526.jpg,58.22,23.36
20250506_113527,captured_image_20250506_113527.jpg,processed_image_20250506_113527.jpg,111.56,27.89
20250506_113530,captured_image_20250506_113530.jpg,processed_image_20250506_113530.jpg,109.12,22.83
20250506_113546,captured_image_20250506_113546.jpg,processed_image_20250506_113546.jpg,64.32,32.25
20250506_114329,captured_image_20250506_114329.jpg,processed_image_20250506_114329.jpg,25.62,31.03
20250506_114330,captured_image_20250506_114330.jpg,processed_image_20250506_114330.jpg,26.15,26.32
20250506_114331,captured_image_20250506_114331.jpg,processed_image_20250506_114331.jpg,25.45,27.89
20250506_114419,captured_image_20250506_114419.jpg,processed_image_20250506_114419.jpg,111.56,71.99
20250506_114426,captured_image_20250506_114426.jpg,processed_image_20250506_114426.jpg,111.56,71.99
20250506_114428,captured_image_20250506_114428.jpg,processed_image_20250506_114428.jpg,111.56,71.82
20250506_114629,captured_image_20250506_114629.jpg,processed_image_20250506_114629.jpg,111.56,71.99
20250506_114631,captured_image_20250506_114631.jpg,processed_image_20250506_114631.jpg,111.56,71.99
20250506_120134,captured_image_20250506_120134.jpg,processed_image_20250506_120134.jpg,111.56,71.82
20250506_123115,captured_image_20250506_123115.jpg,processed_image_20250506_123115.jpg,111.04,72.86
20250506_123314,captured_image_20250506_123314.jpg,processed_image_20250506_123314.jpg,111.56,73.21
20250506_123321,captured_image_20250506_123321.jpg,processed_image_20250506_123321.jpg,111.56,73.21
20250506_123330,captured_image_20250506_123330.jpg,processed_image_20250506_123330.jpg,111.56,73.21
20250521_122611,c_20250521_122611.jpg,p_20250521_122611.jpg,46.38,29.64
20250521_122614,c_20250521_122614.jpg,p_20250521_122614.jpg,46.38,29.49
20250521_122614,c_20250521_122614.jpg,p_20250521_122614.jpg,46.38,29.64
20250521_122615,c_20250521_122615.jpg,p_20250521_122615.jpg,46.38,29.64
20250602_110229,c_20250602_110229.jpg,p_20250602_110229.jpg,36.59,30.72
20250602_110239,c_20250602_110239.jpg,p_20250602_110239.jpg,36.59,29.49
20250602_110239,c_20250602_110239.jpg,p_20250602_110239.jpg,46.38,29.20
20250602_110242,c_20250602_110242.jpg,p_20250602_110242.jpg,46.38,28.91
20250602_110243,c_20250602_110243.jpg,p_20250602_110243.jpg,46.38,29.42
20250602_110244,c_20250602_110244.jpg,p_20250602_110244.jpg,46.38,28.91
20250602_110718,c_20250602_110718.jpg,p_20250602_110718.jpg,10.36,7.17
