id,group_tag,print_tag,image_tag1,image_tag2,vision_capture,humidity,temperature,print_speed,layer_width,layer_height,nozzle_height
34,Liang_20250602-121434_SSE,20250602-124140_p32,c1_20250602-124140.jpg,None,c_20250602-124140.jpg,25.8,20.0,100.0,39.82608695652174,37.04347826086956,19.0
35,Liang_20250602-121434_SSE,20250602-124156_p33,c1_20250602-124156.jpg,None,c_20250602-124156.jpg,25.9,20.0,100.0,55.65217391304348,36.34782608695652,19.0
36,Liang_20250602-121434_SSE,20250602-124212_p34,c1_20250602-124212.jpg,None,c_20250602-124212.jpg,25.9,20.0,100.0,55.65217391304348,41.30434782608695,20.0
37,Liang_20250602-121434_SSE,20250602-124228_p35,c1_20250602-124228.jpg,None,c_20250602-124228.jpg,26.0,20.0,100.0,36.869565217391305,41.73913043478261,20.0
38,Liang_20250602-121434_SSE,20250602-124243_p36,c1_20250602-124243.jpg,None,c_20250602-124243.jpg,25.9,20.0,100.0,41.130434782608695,39.82608695652174,22.0
39,Liang_20250602-121434_SSE,20250602-124259_p37,c1_20250602-124259.jpg,None,c_20250602-124259.jpg,26.0,20.0,100.0,36.08695652173913,39.47826086956522,22.0
40,Liang_20250602-121434_SSE,20250602-124315_p38,c1_20250602-124315.jpg,None,c_20250602-124315.jpg,25.9,20.0,100.0,24.608695652173914,31.304347826086957,22.0
41,Liang_20250602-121434_SSE,20250602-124331_p39,c1_20250602-124331.jpg,None,c_20250602-124331.jpg,25.9,20.0,100.0,55.65217391304348,41.73913043478261,20.0
42,Liang_20250602-121434_SSE,20250602-124347_p40,c1_20250602-124347.jpg,None,c_20250602-124347.jpg,25.9,20.0,100.0,55.65217391304348,41.73913043478261,21.0
43,Liang_20250602-121434_SSE,20250602-124402_p41,c1_20250602-124402.jpg,None,c_20250602-124402.jpg,25.9,20.0,100.0,55.30434782608695,41.73913043478261,22.0
44,Liang_20250602-121434_SSE,20250602-124418_p42,c1_20250602-124418.jpg,None,c_20250602-124418.jpg,25.9,20.0,100.0,53.65217391304348,41.73913043478261,22.0
45,Liang_20250602-121434_SSE,20250602-124434_p43,c1_20250602-124434.jpg,None,c_20250602-124434.jpg,25.9,20.0,100.0,55.65217391304348,41.73913043478261,22.0
46,Liang_20250602-121434_SSE,20250602-124450_p44,c1_20250602-124450.jpg,None,c_20250602-124450.jpg,26.0,20.0,100.0,44.608695652173914,41.73913043478261,21.0
47,Liang_20250602-121434_SSE,20250602-124506_p45,c1_20250602-124506.jpg,None,c_20250602-124506.jpg,26.0,20.0,100.0,55.65217391304348,41.73913043478261,21.0
48,Liang_20250602-121434_SSE,20250602-124522_p46,c1_20250602-124522.jpg,None,c_20250602-124522.jpg,26.0,20.0,100.0,41.21739130434783,41.73913043478261,21.0
49,Liang_20250602-121434_SSE,20250602-124537_p47,c1_20250602-124537.jpg,None,c_20250602-124537.jpg,25.9,20.0,100.0,55.65217391304348,41.73913043478261,21.0
50,Liang_20250602-121434_SSE,20250602-124553_p48,c1_20250602-124553.jpg,None,c_20250602-124553.jpg,25.9,20.0,100.0,55.65217391304348,41.73913043478261,21.0
51,Liang_20250602-121434_SSE,20250602-124609_p49,c1_20250602-124609.jpg,None,c_20250602-124609.jpg,25.9,20.0,100.0,34.69565217391305,26.0,20.0
52,Liang_20250602-121434_SSE,20250602-124625_p50,c1_20250602-124625.jpg,None,c_20250602-124625.jpg,25.9,20.0,100.0,55.65217391304348,41.73913043478261,21.0
53,Liang_20250602-121434_SSE,20250602-124641_p51,c1_20250602-124641.jpg,None,c_20250602-124641.jpg,25.9,20.0,100.0,24.08695652173913,41.30434782608695,22.0
54,Liang_20250602-121434_SSE,20250602-124656_p52,c1_20250602-124656.jpg,None,c_20250602-124656.jpg,25.9,20.0,100.0,37.65217391304348,37.65217391304348,20.0
55,Liang_20250602-121434_SSE,20250602-124712_p53,c1_20250602-124712.jpg,None,c_20250602-124712.jpg,25.8,20.0,100.0,40.34782608695652,39.30434782608695,21.0
56,Liang_20250602-121434_SSE,20250602-124728_p54,c1_20250602-124728.jpg,None,c_20250602-124728.jpg,25.8,20.0,100.0,55.65217391304348,41.73913043478261,21.0
57,Liang_20250602-121434_SSE,20250602-124744_p55,c1_20250602-124744.jpg,None,c_20250602-124744.jpg,26.0,20.0,100.0,50.869565217391305,37.82608695652174,21.0
58,Liang_20250602-121434_SSE,20250602-124759_p56,c1_20250602-124759.jpg,None,c_20250602-124759.jpg,25.8,20.0,100.0,25.391304347826086,22.347826086956523,21.0
59,Liang_20250602-121434_SSE,20250602-124815_p57,c1_20250602-124815.jpg,None,c_20250602-124815.jpg,25.9,20.0,100.0,4.869565217391305,3.9130434782608696,21.0
60,Liang_20250602-121434_SSE,20250602-124831_p58,c1_20250602-124831.jpg,None,c_20250602-124831.jpg,25.8,20.0,100.0,0.0,0.0,21.0
61,Liang_20250602-121434_SSE,20250602-124846_p59,c1_20250602-124846.jpg,None,c_20250602-124846.jpg,25.8,20.0,100.0,0.0,0.0,21.0
62,Liang_20250602-121434_SSE,20250602-124901_p60,c1_20250602-124901.jpg,None,c_20250602-124901.jpg,25.8,20.0,100.0,0.0,0.0,21.0
