id,group_tag,print_tag,image_tag1,image_tag2,humidity,temperature,print_speed,layer_height,pressure,width,image_tag3,comments
81,Session_20250418-113313_SSE,20250418-113313_p1,c1_20250418-113313.jpg,c2_20250418-113313.jpg,19.2,100.0,15.0,0.0,0.0,0.0,12.9,
82,Session_20250418-113313_SSE,20250418-113323_p2,c1_20250418-113323.jpg,c2_20250418-113323.jpg,19.1,100.0,15.0,0.0,0.0,0.0,12.9,
83,Session_20250418-113313_SSE,20250418-113334_p3,c1_20250418-113334.jpg,c2_20250418-113334.jpg,19.2,100.0,15.0,0.0,0.0,0.0,12.9,
84,Session_20250418-113313_SSE,20250418-113344_p4,c1_20250418-113344.jpg,c2_20250418-113344.jpg,19.2,100.0,15.0,0.0,0.0,0.0,12.9,
85,Session_20250418-113313_SSE,20250418-113354_p5,c1_20250418-113354.jpg,c2_20250418-113354.jpg,19.2,100.0,15.0,0.0,0.0,0.0,12.9,
86,Session_20250418-113313_SSE,20250418-113405_p6,c1_20250418-113405.jpg,c2_20250418-113405.jpg,19.2,100.0,15.0,0.0,0.0,0.0,12.9,
87,Session_20250418-113313_SSE,20250418-113415_p7,c1_20250418-113415.jpg,c2_20250418-113415.jpg,19.2,100.0,15.0,0.0,0.0,0.0,12.9,
88,Session_20250418-113313_SSE,20250418-113426_p8,c1_20250418-113426.jpg,c2_20250418-113426.jpg,19.2,100.0,15.0,0.0,0.0,0.0,12.9,
89,Session_20250418-113313_SSE,20250418-113436_p9,c1_20250418-113436.jpg,c2_20250418-113436.jpg,19.2,100.0,15.0,0.0,0.0,0.0,12.9,
90,Session_20250418-113313_SSE,20250418-113447_p10,c1_20250418-113447.jpg,c2_20250418-113447.jpg,19.2,100.0,15.0,0.0,0.0,0.0,12.9,
91,Session_20250418-113313_SSE,20250418-113457_p11,c1_20250418-113457.jpg,c2_20250418-113457.jpg,19.2,100.0,15.0,0.0,0.0,0.0,13.0,
92,Session_20250418-113313_SSE,20250418-113508_p12,c1_20250418-113508.jpg,c2_20250418-113508.jpg,19.2,100.0,15.0,0.0,0.0,0.0,13.1,
93,Session_20250418-113313_SSE,20250418-113518_p13,c1_20250418-113518.jpg,c2_20250418-113518.jpg,19.2,100.0,15.0,0.0,0.0,0.0,13.0,
94,Session_20250418-113313_SSE,20250418-113529_p14,c1_20250418-113529.jpg,c2_20250418-113529.jpg,19.3,100.0,15.0,0.0,0.0,0.0,13.1,
95,Session_20250418-113313_SSE,20250418-113540_p15,c1_20250418-113540.jpg,c2_20250418-113540.jpg,19.3,100.0,15.0,0.0,0.0,0.0,13.0,
96,Session_20250418-113313_SSE,20250418-113550_p16,c1_20250418-113550.jpg,c2_20250418-113550.jpg,19.3,100.0,15.0,0.0,0.0,0.0,13.0,
97,Session_20250418-113313_SSE,20250418-113601_p17,c1_20250418-113601.jpg,c2_20250418-113601.jpg,19.3,100.0,15.0,0.0,0.0,0.0,13.0,
98,Session_20250418-113313_SSE,20250418-113611_p18,c1_20250418-113611.jpg,c2_20250418-113611.jpg,19.3,100.0,15.0,0.0,0.0,0.0,13.1,
99,Session_20250418-113313_SSE,20250418-113622_p19,c1_20250418-113622.jpg,c2_20250418-113622.jpg,19.3,100.0,15.0,0.0,0.0,0.0,13.1,
100,Session_20250418-113313_SSE,20250418-113632_p20,c1_20250418-113632.jpg,c2_20250418-113632.jpg,19.3,100.0,15.0,0.0,0.0,0.0,13.0,
101,Session_20250418-113313_SSE,20250418-113642_p21,c1_20250418-113642.jpg,c2_20250418-113642.jpg,19.3,100.0,15.0,0.0,0.0,0.0,13.0,
102,Session_20250418-113313_SSE,20250418-113653_p22,c1_20250418-113653.jpg,c2_20250418-113653.jpg,19.3,100.0,15.0,0.0,0.0,0.0,13.0,
103,Session_20250418-113313_SSE,20250418-113704_p23,c1_20250418-113704.jpg,c2_20250418-113704.jpg,19.3,100.0,15.0,0.0,0.0,0.0,13.0,
104,Session_20250418-113313_SSE,20250418-113715_p24,c1_20250418-113715.jpg,c2_20250418-113715.jpg,19.3,100.0,15.0,0.0,0.0,0.0,13.0,
105,Session_20250418-113313_SSE,20250418-113725_p25,c1_20250418-113725.jpg,c2_20250418-113725.jpg,19.3,100.0,15.0,0.0,0.0,0.0,13.0,
106,Session_20250418-113313_SSE,20250418-113736_p26,c1_20250418-113736.jpg,c2_20250418-113736.jpg,19.3,100.0,15.0,0.0,0.0,0.0,13.0,
107,Session_20250418-113313_SSE,20250418-113746_p27,c1_20250418-113746.jpg,c2_20250418-113746.jpg,19.3,100.0,15.0,0.0,0.0,0.0,13.0,
108,Session_20250418-113313_SSE,20250418-113757_p28,c1_20250418-113757.jpg,c2_20250418-113757.jpg,19.3,100.0,15.0,0.0,0.0,0.0,13.0,
109,Session_20250418-113313_SSE,20250418-113808_p29,c1_20250418-113808.jpg,c2_20250418-113808.jpg,19.3,100.0,15.0,0.0,0.0,0.0,13.0,
110,Session_20250418-113313_SSE,20250418-113819_p30,c1_20250418-113819.jpg,c2_20250418-113819.jpg,19.3,100.0,15.0,0.0,0.0,0.0,13.0,
111,Session_20250418-113313_SSE,20250418-113829_p31,c1_20250418-113829.jpg,c2_20250418-113829.jpg,19.3,100.0,15.0,0.0,0.0,0.0,13.0,
112,Session_20250418-113313_SSE,20250418-113840_p32,c1_20250418-113840.jpg,c2_20250418-113840.jpg,19.3,100.0,15.0,0.0,0.0,0.0,13.0,
113,Session_20250418-113313_SSE,20250418-113851_p33,c1_20250418-113851.jpg,c2_20250418-113851.jpg,19.3,100.0,15.0,0.0,0.0,0.0,13.0,
114,Session_20250418-113313_SSE,20250418-113901_p34,c1_20250418-113901.jpg,c2_20250418-113901.jpg,19.3,100.0,15.0,0.0,0.0,0.0,13.0,
115,Session_20250418-113313_SSE,20250418-113912_p35,c1_20250418-113912.jpg,c2_20250418-113912.jpg,19.3,100.0,15.0,0.0,0.0,0.0,13.0,
116,Session_20250418-113313_SSE,20250418-113923_p36,c1_20250418-113923.jpg,c2_20250418-113923.jpg,19.3,100.0,15.0,0.0,0.0,0.0,13.0,
117,Session_20250418-113313_SSE,20250418-113933_p37,c1_20250418-113933.jpg,c2_20250418-113933.jpg,19.3,100.0,15.0,0.0,0.0,0.0,13.0,
118,Session_20250418-113313_SSE,20250418-113944_p38,c1_20250418-113944.jpg,c2_20250418-113944.jpg,19.3,100.0,15.0,0.0,0.0,0.0,13.0,
119,Session_20250418-113313_SSE,20250418-113955_p39,c1_20250418-113955.jpg,c2_20250418-113955.jpg,19.3,100.0,15.0,0.0,0.0,0.0,13.0,
120,Session_20250418-113313_SSE,20250418-114005_p40,c1_20250418-114005.jpg,c2_20250418-114005.jpg,19.3,100.0,15.0,0.0,0.0,0.0,12.9,
121,Session_20250418-113313_SSE,20250418-114015_p41,c1_20250418-114015.jpg,c2_20250418-114015.jpg,19.3,100.0,15.0,0.0,0.0,0.0,13.0,
122,Session_20250418-113313_SSE,20250418-114026_p42,c1_20250418-114026.jpg,c2_20250418-114026.jpg,19.4,100.0,15.0,0.0,0.0,0.0,12.9,
123,Session_20250418-113313_SSE,20250418-114037_p43,c1_20250418-114037.jpg,c2_20250418-114037.jpg,19.3,100.0,15.0,0.0,0.0,0.0,12.8,
124,Session_20250418-113313_SSE,20250418-114048_p44,c1_20250418-114048.jpg,c2_20250418-114048.jpg,19.3,100.0,15.0,0.0,0.0,0.0,12.8,
125,Session_20250418-113313_SSE,20250418-114058_p45,c1_20250418-114058.jpg,c2_20250418-114058.jpg,19.3,100.0,15.0,0.0,0.0,0.0,12.8,
126,Session_20250418-113313_SSE,20250418-114109_p46,c1_20250418-114109.jpg,c2_20250418-114109.jpg,19.3,100.0,15.0,0.0,0.0,0.0,12.8,
127,Session_20250418-113313_SSE,20250418-114119_p47,c1_20250418-114119.jpg,c2_20250418-114119.jpg,19.4,100.0,15.0,0.0,0.0,0.0,12.8,
128,Session_20250418-113313_SSE,20250418-114130_p48,c1_20250418-114130.jpg,c2_20250418-114130.jpg,19.4,100.0,15.0,0.0,0.0,0.0,12.8,
