id,group_tag,print_tag,image_tag1,image_tag2,humidity,temperature,print_speed,layer_height,pressure,width,image_tag3,comments
61,Dylan_20250730-114428_SSE,20250730-115111_p37,c1_20250730-115111.jpg,None,0.0,37.9,22.6,50.0,15.0,Pine Tar,None,None
62,Dylan_20250730-114428_SSE,20250730-115121_p38,c1_20250730-115121.jpg,None,0.0,38.0,22.6,50.0,15.0,Pine Tar,None,None
63,Dylan_20250730-114428_SSE,20250730-115131_p39,c1_20250730-115131.jpg,None,0.0,38.0,22.6,50.0,15.0,Pine Tar,None,None
64,Dylan_20250730-114428_SSE,20250730-115141_p40,c1_20250730-115141.jpg,None,0.0,38.0,22.6,50.0,15.0,Pine Tar,None,None
65,Dylan_20250730-114428_SSE,20250730-115152_p41,c1_20250730-115152.jpg,None,0.0,38.0,22.6,50.0,15.0,Pine Tar,None,None
66,Dylan_20250730-114428_SSE,20250730-115205_p42,c1_20250730-115205.jpg,None,0.0,37.9,22.6,50.0,15.0,Pine Tar,None,None
67,Dylan_20250730-114428_SSE,20250730-115215_p43,c1_20250730-115215.jpg,None,0.0,38.0,22.6,50.0,15.0,Pine Tar,None,None
68,Dylan_20250730-114428_SSE,20250730-115226_p44,c1_20250730-115226.jpg,None,0.0,37.9,22.6,50.0,15.0,Pine Tar,None,None
69,Dylan_20250730-114428_SSE,20250730-115239_p45,c1_20250730-115239.jpg,None,0.0,38.0,22.6,50.0,15.0,Pine Tar,None,None
70,Dylan_20250730-114428_SSE,20250730-115249_p46,c1_20250730-115249.jpg,None,0.0,37.9,22.6,50.0,15.0,Pine Tar,None,None
71,Dylan_20250730-114428_SSE,20250730-115300_p47,c1_20250730-115300.jpg,None,0.0,38.0,22.6,50.0,15.0,Pine Tar,None,None
72,Dylan_20250730-114428_SSE,20250730-115313_p48,c1_20250730-115313.jpg,None,0.0,38.0,22.6,50.0,15.0,Pine Tar,None,None
73,Dylan_20250730-114428_SSE,20250730-115324_p49,c1_20250730-115324.jpg,None,0.0,38.0,22.6,50.0,15.0,Pine Tar,None,None
74,Dylan_20250730-114428_SSE,20250730-115334_p50,c1_20250730-115334.jpg,None,0.0,38.0,22.6,50.0,15.0,Pine Tar,None,None
75,Dylan_20250730-114428_SSE,20250730-115347_p51,c1_20250730-115347.jpg,None,0.0,38.0,22.6,50.0,15.0,Pine Tar,None,None
76,Dylan_20250730-114428_SSE,20250730-115357_p52,c1_20250730-115357.jpg,None,0.0,38.0,22.6,50.0,15.0,Pine Tar,None,None
77,Dylan_20250730-114428_SSE,20250730-115408_p53,c1_20250730-115408.jpg,None,0.0,38.0,22.6,50.0,15.0,Pine Tar,None,None
78,Dylan_20250730-114428_SSE,20250730-115421_p54,c1_20250730-115421.jpg,None,0.0,37.9,22.6,50.0,15.0,Pine Tar,None,None
79,Dylan_20250730-114428_SSE,20250730-115432_p55,c1_20250730-115432.jpg,None,0.0,37.9,22.6,50.0,15.0,Pine Tar,None,None
80,Dylan_20250730-114428_SSE,20250730-115442_p56,c1_20250730-115442.jpg,None,0.0,37.9,22.6,50.0,15.0,Pine Tar,None,None
81,Dylan_20250730-114428_SSE,20250730-115455_p57,c1_20250730-115455.jpg,None,0.0,37.9,22.6,50.0,15.0,Pine Tar,None,None
82,Dylan_20250730-114428_SSE,20250730-115506_p58,c1_20250730-115506.jpg,None,0.0,37.9,22.6,50.0,15.0,Pine Tar,None,None
83,Dylan_20250730-114428_SSE,20250730-115516_p59,c1_20250730-115516.jpg,None,0.0,37.9,22.6,50.0,15.0,Pine Tar,None,None
84,Dylan_20250730-114428_SSE,20250730-115530_p60,c1_20250730-115530.jpg,None,0.0,37.9,22.6,50.0,15.0,Pine Tar,None,None
85,Dylan_20250730-114428_SSE,20250730-115540_p61,c1_20250730-115540.jpg,None,0.0,37.8,22.6,50.0,15.0,Pine Tar,None,None
86,Dylan_20250730-114428_SSE,20250730-115550_p62,c1_20250730-115550.jpg,None,0.0,37.8,22.6,50.0,15.0,Pine Tar,None,None
87,Dylan_20250730-114428_SSE,20250730-115604_p63,c1_20250730-115604.jpg,None,0.0,37.8,22.6,50.0,15.0,Pine Tar,None,None
88,Dylan_20250730-114428_SSE,20250730-115614_p64,c1_20250730-115614.jpg,None,0.0,37.9,22.6,50.0,15.0,Pine Tar,None,None
89,Dylan_20250730-114428_SSE,20250730-115624_p65,c1_20250730-115624.jpg,None,0.0,37.8,22.6,50.0,15.0,Pine Tar,None,None
90,Dylan_20250730-114428_SSE,20250730-115638_p66,c1_20250730-115638.jpg,None,0.0,37.9,22.6,50.0,15.0,Pine Tar,None,None
91,Dylan_20250730-114428_SSE,20250730-115648_p67,c1_20250730-115648.jpg,None,0.0,37.9,22.6,50.0,15.0,Pine Tar,None,None
92,Dylan_20250730-114428_SSE,20250730-115658_p68,c1_20250730-115658.jpg,None,0.0,37.9,22.6,50.0,15.0,Pine Tar,None,None
93,Dylan_20250730-114428_SSE,20250730-115712_p69,c1_20250730-115712.jpg,None,0.0,37.9,22.6,50.0,15.0,Pine Tar,None,None
94,Dylan_20250730-114428_SSE,20250730-115722_p70,c1_20250730-115722.jpg,None,0.0,37.9,22.6,50.0,15.0,Pine Tar,None,None
95,Dylan_20250730-114428_SSE,20250730-115732_p71,c1_20250730-115732.jpg,None,0.0,37.9,22.6,50.0,15.0,Pine Tar,None,None
96,Dylan_20250730-114428_SSE,20250730-115746_p72,c1_20250730-115746.jpg,None,0.0,37.8,22.6,50.0,15.0,Pine Tar,None,None
97,Dylan_20250730-114428_SSE,20250730-115756_p73,c1_20250730-115756.jpg,None,0.0,37.9,22.6,50.0,15.0,Pine Tar,None,None
98,Dylan_20250730-114428_SSE,20250730-115806_p74,c1_20250730-115806.jpg,None,0.0,37.8,22.6,50.0,15.0,Pine Tar,None,None
99,Dylan_20250730-114428_SSE,20250730-115820_p75,c1_20250730-115820.jpg,None,0.0,37.9,22.6,50.0,15.0,Pine Tar,None,None
100,Dylan_20250730-114428_SSE,20250730-115830_p76,c1_20250730-115830.jpg,None,0.0,37.8,22.6,50.0,15.0,Pine Tar,None,None
101,Dylan_20250730-114428_SSE,20250730-115840_p77,c1_20250730-115840.jpg,None,0.0,37.8,22.6,50.0,15.0,Pine Tar,None,None
102,Dylan_20250730-114428_SSE,20250730-115854_p78,c1_20250730-115854.jpg,None,0.0,37.8,22.6,50.0,15.0,Pine Tar,None,None
103,Dylan_20250730-114428_SSE,20250730-115904_p79,c1_20250730-115904.jpg,None,0.0,37.8,22.6,50.0,15.0,Pine Tar,None,None
104,Dylan_20250730-114428_SSE,20250730-115915_p80,c1_20250730-115915.jpg,None,0.0,37.8,22.6,50.0,15.0,Pine Tar,None,None
105,Dylan_20250730-114428_SSE,20250730-115928_p81,c1_20250730-115928.jpg,None,0.0,37.8,22.6,50.0,15.0,Pine Tar,None,None
106,Dylan_20250730-114428_SSE,20250730-115938_p82,c1_20250730-115938.jpg,None,0.0,37.8,22.6,50.0,15.0,Pine Tar,None,None
107,Dylan_20250730-114428_SSE,20250730-115949_p83,c1_20250730-115949.jpg,None,0.0,37.9,22.6,50.0,15.0,Pine Tar,None,None
108,Dylan_20250730-114428_SSE,20250730-120002_p84,c1_20250730-120002.jpg,None,0.0,37.8,22.6,50.0,15.0,Pine Tar,None,None
109,Dylan_20250730-114428_SSE,20250730-120013_p85,c1_20250730-120013.jpg,None,0.0,37.8,22.6,50.0,15.0,Pine Tar,None,None
110,Dylan_20250730-114428_SSE,20250730-120023_p86,c1_20250730-120023.jpg,None,0.0,37.9,22.6,50.0,15.0,Pine Tar,None,None
111,Dylan_20250730-114428_SSE,20250730-120036_p87,c1_20250730-120036.jpg,None,0.0,37.9,22.6,50.0,15.0,Pine Tar,None,None
112,Dylan_20250730-114428_SSE,20250730-120046_p88,c1_20250730-120046.jpg,None,0.0,37.9,22.6,50.0,15.0,Change laye,None,None
113,Dylan_20250730-114428_SSE,20250730-120057_p89,c1_20250730-120057.jpg,None,0.0,38.0,22.6,50.0,15.0,Change layer height,None,None
114,Dylan_20250730-114428_SSE,20250730-120110_p90,c1_20250730-120110.jpg,None,0.0,38.0,22.6,50.0,15.0,Change layer height,None,None
115,Dylan_20250730-114428_SSE,20250730-120121_p91,c1_20250730-120121.jpg,None,0.0,37.9,22.6,50.0,15.0,Change layer height,None,None
116,Dylan_20250730-114428_SSE,20250730-120131_p92,c1_20250730-120131.jpg,None,0.0,37.9,22.6,50.0,15.0,Change layer height,None,None
117,Dylan_20250730-114428_SSE,20250730-120145_p93,c1_20250730-120145.jpg,None,0.0,37.9,22.6,50.0,15.0,Change layer height,None,None
118,Dylan_20250730-114428_SSE,20250730-120155_p94,c1_20250730-120155.jpg,None,0.0,37.9,22.6,50.0,15.0,Change speed to 75,None,None
119,Dylan_20250730-114428_SSE,20250730-120205_p95,c1_20250730-120205.jpg,None,0.0,37.8,22.6,50.0,15.0,Change speed to 75,None,None
120,Dylan_20250730-114428_SSE,20250730-120219_p96,c1_20250730-120219.jpg,None,0.0,37.9,22.6,50.0,15.0,Change speed to 75,None,None
121,Dylan_20250730-114428_SSE,20250730-120229_p97,c1_20250730-120229.jpg,None,0.0,37.9,22.6,50.0,15.0,Change speed to 75,None,None
