id,group_tag,print_tag,image_tag1,image_tag2,humidity,temperature,print_speed,layer_height,pressure,width,image_tag3,comments
5,Senami_20250428-202402_SSE,20250428-202421_p5,None,c2_20250428-202421.jpg,32.1,19.5,100.0,15.0,0.0,0.0,None,None
6,Senami_20250428-202402_SSE,20250428-202424_p6,None,c2_20250428-202424.jpg,32.1,19.5,100.0,15.0,0.0,0.0,None,None
7,Senami_20250428-202402_SSE,20250428-202427_p7,None,c2_20250428-202427.jpg,32.1,19.5,100.0,15.0,0.0,0.0,None,None
8,Senami_20250428-202402_SSE,20250428-202432_p8,None,c2_20250428-202432.jpg,32.2,19.5,100.0,15.0,0.0,0.0,None,None
9,Senami_20250428-202402_SSE,20250428-202441_p9,None,c2_20250428-202441.jpg,32.1,19.5,100.0,15.0,0.0,0.0,None,None
10,Senami_20250428-202402_SSE,20250428-202444_p10,None,c2_20250428-202444.jpg,32.1,19.5,100.0,15.0,0.0,0.0,None,None
